ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
77220005,Carrefour Market,4874000,277700,77220,RUE DE LA LIBERATION,Tournan-en-Brie,R
77230001,TotalEnergies,4903300,263500,77230,ROUTE DE PARIS,Villeneuve-sous-Dammartin,R
77230004,Intermarché,4906414.392,259786.578,77230,Route de Vémars,MOUSSY-LE-NEUF,R
77230006,TotalEnergies Access,4907014.23478,271523.931506,77230,RN 2 ROUTE DE SOISSONS,ROUVRES,R
77230009,Carrefour,4904100,268600,77230,5 avenue des deux Moulins,Saint-Mard,R
77240002,Auchan,4858695.5815752,259645.65667331,77240,Rte Nationale 6 centre cial Boissénart,CESSON,R
77250002,Intermarché,4837548.2965623,281138.95223141,77250,2 Avenue de la Gare,Moret-Loing-et-Orvanne,R
77250004,Carrefour Market,4836935.4347807,282755.99738244,77250,11 Rue de l'Orvanne,Moret-Loing-et-Orvanne,R
77250006,TotalEnergies Access,4836400,285300,77250,RD 606,MORET-LOING-ET-ORVANNE,R
77250007,TotalEnergies Access,4836300,285700,77250,RD 606 - SENS PROVINCE PARIS,ECUELLES,R
77260004,E.Leclerc,4893700,313500,77260,Avenue de Rebais,LA FERTé-SOUS-JOUARRE,R
77260005,Intermarché,4893700,310400,77260,RN 3 ZI DU HAINAULT.,SEPT-SORTS,R
77260007,AGIP,4897100,306500,77260,AIRE D'USSY SUR MARNE,USSY SUR MARNE,A
77260008,BP,4896400,305300,77260,AIRE DE CHANGIS-SUR-MARNE A4,La Ferté-sous-Jouarre,A
77260009,TotalEnergies,4894367.6592765,312121.15997505,77260,42 AVENUE FRANKLIN ROOSEVELT,LA FERTE SOUS JOUARRE,R
77260010,ENI,4896384,305281,77260,AIRE DE CHANGIS-SUR-MARNE A4,Ussy sur marne,A
77260011,ENI,4897000,306400,77260,Aire de Ussy sur Marne - Autoroute A4,Ussy sur Marne,A
77270001,E.Leclerc,4895355.016926,260687.66680146,77270,Avenue Roger Salengro,VILLEPARISIS,R
77280001,Intermarché,4907300,267100,77280,Rue du 8 Mai 1945,Othis,R
77290002,Intermarché,4898100,272000,77290,46 Rue de Villeparisis,MITRY-MORY,R
