id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
84310003,independant sans enseigne,43.941,4.897,84310,502 Avenue Jean Monnet,MORIèRES-LèS-AVIGNON,R
84310004,esso,43.925,4.913,84310,Autoroute A7 (Sens Lyon - Marseille),Morières-lès-Avignon,A
84330003,independant sans enseigne,44.1006383645,5.10198685925,84330,199 route de Carpentras,CAROMB,R
84340002,avia,44.176,5.129,84340,2 Rond Point des Remparts,MALAUCENE,R
84360003,avia,43.747,5.312,84360,Avenue Philippe de Girard,LAURIS,R
84390001,intermarche,44.1015,5.41452,84390,QUARTIER DE MOUGNE,Sault,R
84400001,auchan,43.88436599999999,5.3795969999999995,84400,Avenue lançon,Apt,R
84400003,e.leclerc,43.882550478083,5.3811722343890995,84400,Chemin des Abattoirs,APT,R
84400004,independant sans enseigne,43.875,5.404,84400,Boulevard de la Libération,Apt,R
84470001,esso,43.92849,4.93805,84470,778 Route d'Avignon,Châteauneuf-de-Gadagne,R
84500003,independant sans enseigne,44.280839173,4.8021741693,84500,Route de Suze la Rousse,BOLLèNE,R
84500007,intermarche,44.286892034091,4.7506355196328,84500,Avenue Jean Giono STATION 2 ROND POINT,Bollène,R
84507001,e.leclerc,44.322,4.745,84500,Route de Saint-Paul-Trois-Chateaux,BOLLèNE,R
84550004,bp,44.195,4.731,84550,Aire de Mornas Village - Autoroute A7 - Sens Lyon Marseille,Mornas,A
84550005,e.leclerc,44.216,4.723,84550,Autoroute A7 Aire de Mornas Les Adrets,Mornas,A
84570002,independant sans enseigne,44.057792672929,5.2314268211487,84570,24 AVENUE JEAN JAURES,VILLES-SUR-AUZON,R
84600002,intermarche,44.37318,4.98125,84600,Route d'Orange,Valréas,R
84600003,independant sans enseigne,44.394231137862,4.942068179992599,84600,Route de Valréas . Quartier les Mouilieres,Grillon,R
84601001,e.leclerc,44.386,5.007,84600,Route de Nyons,Valréas,R
84700002,esso,44.026,4.873,84700,ROUTE NATIONALE 7,Sorgues,R
84700004,intermarche,44.009,4.873,84700,1238 ROUTE D'ORANGE,Sorgues,R
84700006,avia,44.023,4.89,84700,Autoroute A7,Sorgues,A
84800003,intermarche,43.931,5.064,84800,Route de Carpentras,L'ISLE-SUR-LA-SORGUE,R
84850001,intermarche,44.162822050066005,4.8767082703502,84850,110 Rte de Violès,Camaret-sur-Aigues,R
84976001,e.leclerc,44.05145,5.04122,84200,Boulevard Naquet,Carpentras,R
85000007,e.leclerc,46.674,-1.405,85000,Rue Newton,La Roche-sur-Yon,R
85000008,e.leclerc,46.646,-1.435,85000,Rte de la Tranche,LA ROCHE-SUR-YON,R
85000009,intermarche,46.682,-1.438,85000,Boulevard Edison,La Roche-sur-Yon,R
85000010,esso,46.692,-1.429,85000,44 ROUTE DE NANTES,LA ROCHE-SUR-YON,R
85110006,e.leclerc,46.7,-1.051,85110,PARC ACTIVITE POLARIS NORD,Chantonnay,R
