,id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
270,3400004,carrefour,46.5666939,3.3547122148461,3400,RD12 ZONE LA PLAINE BODIN - 65 ROUTE DE MONTBEUGNY,Yzeure,R
279,3430001,carrefour,46.474,2.827,3430,Route de Hérisson,COSNE-D'ALLIER,R
281,3500002,carrefour,46.31156,3.28058,3500,Route de Montmarault,SAINT-POURçAIN-SUR-SIOULE,R
286,3600001,carrefour,46.294,2.741,3600,Avenue Edouard Vaillant,COMMENTRY,R
290,3630004,carrefour,46.355,2.621,3630,51 RUE DE LA REPUBLIQUE,DESERTINES,R
297,3800007,carrefour,46.084179728058,3.2007152920654,3800,1 AVENUE DES PORTES OCCITANES,GANNAT,R
300,4000001,carrefour,44.076,6.188,4000,ROUTE DE MARSEILLE,DIGNE-LES-BAINS,R
353,4700003,carrefour,43.92768,5.89091,4700,RN 96 CENTRE COMMERCIAL LE PLAN,LA BRILLANNE,R
355,4700006,carrefour,43.912383289938,5.9157381351348,4700,AVENUE FLOURENS AILLAUD,Oraison,R
365,5100004,carrefour,44.899,6.634,5100,CENTRE COMMERCIAL SUD,BRIANCON,R
368,5120002,carrefour,44.7929320359,6.55974685925,5120,PLACE DE LA MAIRIE,L'Argentière-la-Bessée,R
397,5400004,carrefour,44.5373983,5.834620999999999,5400,ROUTE DE GAP,VEYNES,R
399,5500002,carrefour,44.675773217151,6.075892485075101,5500,ZA DU MOULIN,Saint-Bonnet-en-Champsaur,R
403,5600006,carrefour,44.660867125097,6.653216819505,5600,Porte du Queyras,GUILLESTRE,R
430,6140005,carrefour,43.7251854,7.0962481,6140,976 avenue rhin et danube,vence,R
437,6156001,carrefour,43.571,6.959,6150,Z.I. Les Tourrades,Cannes,R
449,6201001,carrefour,43.73,7.186,6200,606 boulevard du mercantour,Nice,R
461,6250001,carrefour,43.579827627633996,6.9959674750295004,6250,3256 CHEMIN DE CARIMAÏ,MOUGINS,R
467,6260002,carrefour,43.954755139463,6.89044101879,6260,RN 202 Quartier St-Roch,PUGET-THENIERS,R
510,6530003,carrefour,43.650138552655,6.810616369366,6530,ROUTE DE GRASSE,Saint-Cézaire-sur-Siagne,R
512,6530007,carrefour,43.634449000000004,6.853901,6530,Faisse longue-route de draguignan - Lotissement le Hameau du Val du Tignet,Tignet,R
517,6560001,carrefour,43.645,7.049,6560,Chemin du Darbousson,VALBONNE,R
520,6600001,carrefour,43.603,7.085,6600,Chemin de Saint-Claude,ANTIBES,R
535,6610005,carrefour,43.717648206695,7.1522485398704,6610,ROUTE DE CAGNES,LA GAUDE,R
568,7110004,carrefour,44.538,4.293,7110,76 avenue de la République,Largentière,R
576,7140001,carrefour,44.406,4.137,7140,Centre Commercial La Clairette,LES VANS,R
585,7190001,carrefour,44.8216,4.58402,7190,Grande Rue,Saint-Sauveur-de-Montagut,R
593,7200010,carrefour,44.605,4.387,7200,56 Avenue de Bellande,Aubenas,R
600,7220003,carrefour,44.475896399999996,4.692095800000001,7220,QUARTIER PLANZOLLES RN86,Viviers,R
605,7260001,carrefour,44.479,4.248,7260,Les Beaumes,JOYEUSE,R
609,7300001,carrefour,45.055,4.839,7300,RUE HELENE DE TOURNON,TOURNON-SUR-RHôNE,R
624,7430002,carrefour,45.261,4.703,7430,Route de Lyon,DAVéZIEUX,R
636,7800008,carrefour,44.857,4.83,7800,RD 86 - LIEUDIT LES COTES,Saint-Georges-les-Bains,R
637,8000001,carrefour,49.739,4.707,8000,1 rue Paulin Richier,CHARLEVILLE-MéZIèRES,R
645,8110001,carrefour,49.62,5.191,8110,route nationale,Blagny,R
648,8130003,carrefour,49.47872,4.57662,8130,3 Rue Saint-Charles,Attigny,R
652,8150001,carrefour,49.84,4.545,8150,RUE PASTEUR,RIMOGNE,R
653,8150002,carrefour,49.84,4.605,8150,Avenue Martyrs de la Résistance,Renwez,R
654,8170001,carrefour,49.989,4.692,8170,rue des evignes,FUMAY,R
657,8190003,carrefour,49.47064,4.12341,8190,1 Rue Chantereine,Asfeld,R
663,8230001,carrefour,49.9279955609,4.52567373636,8230,Route de la Petite Chapelle,ROCROI,R
666,8300001,carrefour,49.511,4.368,8300,ZONE DE L'ETOILE,Rethel,R
673,8330002,carrefour,49.735,4.85,8330,12 RUE PIERRE VIENOT,VRIGNE-AUX-BOIS,R
674,8350002,carrefour,49.698,4.866,8350,Rue Georges Clemenceau,DONCHERY,R
675,8360003,carrefour,49.53,4.249,8360,37 Rue de la Sommevue,Château-Porcien,R
678,8400004,carrefour,49.405,4.697,8400,Rue Verte,VOUZIERS,R
683,8700001,carrefour,49.81889,4.74094,8700,Rue Parmentier,NOUZONVILLE,R
685,8800004,carrefour,49.885,4.739,8800,ROUTE DE BOGNY,MONTHERMé,R
690,9000007,carrefour,42.975,1.608,9000,rue des Bruilhols,Foix,R
697,9110003,carrefour,42.7442317,1.7855673,9110,ZA N20 ALLEE DU BOIS DES ESQUERS,PERLES ET CASTELET,R
704,9200001,carrefour,42.973498985561996,1.1520233135223,9200,ROUTE D'EYCHEIL,SAINT-GIRONS,R
706,9210001,carrefour,43.281,1.348,9210,La Sinsole,LEZAT SUR LEZE,R
708,9240003,carrefour,43.012,1.431,9240,47 faubourg sainte croix,la bastide de serou,R
709,9270003,carrefour,43.251,1.678,9270,LIEU DIT LE RAUNIER,MAZERES,R
711,9300005,carrefour,42.928,1.858,9300,RUE DU 8 MAI 1945,LAVELANET,R
712,9300008,carrefour,42.907769266202,1.9269959772993999,9300,Avenue de Lavelanet,Bélesta,R
714,9350003,carrefour,43.108130777057994,1.37493244737,9350,ROUTE DE DAUMAZAN,Les Bordes-sur-Arize,R
728,10100001,carrefour,48.51018,3.71443,10100,AVENUE DIDEROT,Romilly-sur-Seine,R
737,10123001,carrefour,48.289,4.065,10120,Avenue Charles de Refuge,Saint-André-les-Vergers,R
751,10200003,carrefour,48.228,4.71,10200,Rue Louis Desprez,BAR-SUR-AUBE,R
758,10250002,carrefour,47.975,4.494,10250,3 Rue Paul Terillon,Mussy-sur-Seine,R
760,10260003,carrefour,48.181,4.189,10260,RD185 LES GRANDES FOSSES,VAUDES,R
764,10270010,carrefour,48.25347,4.261199,10270,29 Avenue Pierre Gomand,Lusigny-sur-Barse,R
772,10400002,carrefour,48.49240759359999,3.51288606446,10400,AVENUE DU GENERAL DE GAULLE,NOGENT-SUR-SEINE,R
781,10600002,carrefour,48.305,4.027,10300,4 Boulevard de l'Ouest,Sainte-Savine,R
787,10700002,carrefour,48.534,4.156,10700,"42, Route de Brienne (5 minutes A26 Sortie 21)",ARCIS-SUR-AUBE,R
791,10800006,carrefour,48.237,4.109,10800,1 ROUTE DE MAISONS BLANCHES,Buchères,R
801,11000016,carrefour,43.236,2.369,11000,ZI PONT ROUGE,CARCASSONNE,R
816,11101001,carrefour,43.179,3.029,11100,AVENUE HUBERT MOULY,NARBONNE,R
823,11120002,carrefour,43.2036793,2.7649696999999995,11200,RN 113 AVENUE MARECHAL GALLIENI,Lézignan-Corbières,R
827,11150001,carrefour,43.241,2.101,11150,zae avenue de la preuilhe,BRAM,R
830,11160003,carrefour,43.284583541238,2.5747807541329997,11160,Avenue Ernest Ferroul,Peyriac-Minervois,R
832,11200001,carrefour,43.189,2.753,11200,AVENUE DES CORBIERES,LéZIGNAN-CORBIèRES,R
845,11290005,carrefour,43.184973456197994,2.2604546015442,11290,Lieu dit Le GOUTAL - Route d'ALAIRAC - D211,LAVALETTE,R
850,11310001,carrefour,43.362978379985,2.1613941268092,11310,698 rue Bernard Marty lot las fountetos,Saissac,R
851,11370001,carrefour,42.9064295874,3.03680630734,11370,route de Leucate plage,LEUCATE,R
864,11500001,carrefour,42.89291680048,2.1937939696504003,11500,Place de la Liberté,Quillan,R
867,11500005,carrefour,42.893,2.194,11500,ZA LA PLAGE SUD,QUILLAN,R
892,12100004,carrefour,44.091,3.077,12100,AVENUE DU PONT LEROUGE,Millau,R
901,12120001,carrefour,44.17642425,2.52119462,12120,Z.A. PLAISANCE,Cassagnes-Bégonhès,R
912,12160003,carrefour,44.277,2.444,12160,600 Avenue de Rodez,Baraqueville,R
913,12170001,carrefour,44.029,2.534,12170,28 Avenue de la Vallée du Tarn,REQUISTA,R
914,12170004,carrefour,44.037,2.523,12170,80 Avenue d'Albi,Réquista,R
916,12200002,carrefour,44.361,2.034,12200,Avenue de Toulouse,VILLEFRANCHE-DE-ROUERGUE,R
928,12260006,carrefour,44.432,2.031,12260,AVENUE DU ROUERGUE,Villeneuve,R
948,12400001,carrefour,43.958,2.87,12400,Lotissement de Vaxergues,SAINT-AFFRIQUE,R
955,12450001,carrefour,44.29682,2.55795,12450,Avenue de Rodez,LUC-LA-PRIMAUBE,R
992,13008008,carrefour,43.249,5.391,13008,AVENUE DE HAMBOURG,MARSEILLE,R
1012,13011020,carrefour,43.289,5.46,13011,73 Boulevard de Saint-Marcel,Marseille,R
1015,13011024,carrefour,43.298,5.496,13011,73 route des Camoins,Marseille,R
1024,13012028,carrefour,43.317,5.44,13012,7 CHEMIN DES AMARYLLIS,MARSEILLE,R
1037,13014001,carrefour,43.329,5.401,13014,AVENUE PROSPER MERIMEE,MARSEILLE,R
1061,13110003,carrefour,43.413,5.001,13110,RN Fos/ Martigues,PORT-DE-BOUC,R
1069,13120001,carrefour,43.465,5.464,13120,Petit Chemin d'Aix,Gardanne,R
1084,13130002,carrefour,43.48942,5.17369,13130,Boulevard Henri Wallon,Berre-l'Étang,R
1087,13140001,carrefour,43.57594,4.99821,13140,Boulevard Jacques Minet,MIRAMAS,R
1096,13160004,carrefour,43.879,4.85,13160,AVENUE DELATTRE DE TASSIGNY,Châteaurenard,R
1104,13180002,carrefour,43.38753608,5.23277519,13180,rue du 19 mars 1962,Gignac-la-Nerthe,R
1118,13220003,carrefour,43.394,5.135,13220,RN 568,CHATEAUNEUF-LES-MARTIGUES,R
1119,13220004,carrefour,43.390477933905004,5.1634639372955,13220,"CHEMIN DE PATAFLOUX, ZONE DU FOURNEILLER, CCIAL LES OLIVIERS",Châteauneuf-les-Martigues,R
1138,13300011,carrefour,43.653,5.1,13300,"Avenue de Bretagne, les Canourgues",Salon-de-Provence,R
1149,13340001,carrefour,43.492,5.229,13340,LE PLAN,ROGNAC,R
